# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,
#,,,,,
#,,,,,
# User preference: *,,,,,
#,,,,,
# COLUMN pl_name:        Planet Name,,,,,
# COLUMN sy_snum:        Number of Stars,,,,,
# COLUMN sy_pnum:        Number of Planets,,,,,
# COLUMN discoverymethod: Discovery Method,,,,,
# COLUMN disc_year:      Discovery Year,,,,,
# COLUMN releasedate:    Release Date,,,,,
#,,,,,
pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,releasedate
2MASS J04414489+2301513 b,1,1,Imaging,2010,14/05/2014
2MASS J11011926-7732383 b,1,1,Imaging,2024,08/05/2024
2MASS J11550485-7919108 b,1,1,Imaging,2024,07/05/2024
2MASS J12073346-3932539 b,1,1,Imaging,2004,25/02/2016
2MASS J12073346-3932539 b,1,1,Imaging,2004,14/05/2014
2MASS J19383260+4603591 b,2,3,Eclipse Timing Variations,2015,04/06/2015
2MASS J19383260+4603591 b,2,3,Eclipse Timing Variations,2015,19/04/2022
2MASS J21252752-8138278 b,1,1,Imaging,2024,07/05/2024
2MASS J22362452+4751425 b,1,1,Imaging,2016,10/11/2016
30 Ari B b,4,1,Radial Velocity,2009,06/09/2018
30 Ari B b,4,1,Radial Velocity,2009,14/05/2014
30 Ari B b,4,1,Radial Velocity,2009,03/12/2015
4 UMa b,1,1,Radial Velocity,2006,19/09/2023
4 UMa b,1,1,Radial Velocity,2006,14/05/2014
47 UMa b,1,3,Radial Velocity,1996,14/05/2014
47 UMa b,1,3,Radial Velocity,1996,28/01/2016
47 UMa b,1,3,Radial Velocity,1996,21/08/2014
47 UMa b,1,3,Radial Velocity,1996,20/09/2021
47 UMa b,1,3,Radial Velocity,1996,18/09/2014
47 UMa c,1,3,Radial Velocity,2001,20/09/2021
47 UMa c,1,3,Radial Velocity,2001,18/09/2014
47 UMa c,1,3,Radial Velocity,2001,14/05/2014
47 UMa d,1,3,Radial Velocity,2009,14/05/2014
47 UMa d,1,3,Radial Velocity,2009,20/09/2021
51 Eri b,3,1,Imaging,2015,03/12/2015
51 Eri b,3,1,Imaging,2015,11/07/2019
51 Eri b,3,1,Imaging,2015,14/08/2015
51 Eri b,3,1,Imaging,2015,25/09/2025
51 Peg b,1,1,Radial Velocity,1995,03/11/2016
51 Peg b,1,1,Radial Velocity,1995,14/05/2014
51 Peg b,1,1,Radial Velocity,1995,09/05/2022
51 Peg b,1,1,Radial Velocity,1995,27/08/2015
51 Peg b,1,1,Radial Velocity,1995,21/08/2014
55 Cnc B b,2,7,Radial Velocity,2025,30/10/2025
55 Cnc B c,2,7,Radial Velocity,2025,30/10/2025
55 Cnc b,2,7,Radial Velocity,1996,10/11/2016
55 Cnc b,2,7,Radial Velocity,1996,13/10/2016
55 Cnc b,2,7,Radial Velocity,1996,30/10/2025
55 Cnc b,2,7,Radial Velocity,1996,16/05/2014
55 Cnc b,2,7,Radial Velocity,1996,12/02/2015
55 Cnc b,2,7,Radial Velocity,1996,29/10/2014
55 Cnc b,2,7,Radial Velocity,1996,09/05/2022
55 Cnc b,2,7,Radial Velocity,1996,21/08/2014
55 Cnc b,2,7,Radial Velocity,1996,06/10/2016
55 Cnc b,2,7,Radial Velocity,1996,14/05/2014
55 Cnc b,2,7,Radial Velocity,1996,21/08/2014
55 Cnc b,2,7,Radial Velocity,1996,11/02/2021
55 Cnc b,2,7,Radial Velocity,1996,21/08/2014
55 Cnc c,2,7,Radial Velocity,2004,14/05/2014
55 Cnc c,2,7,Radial Velocity,2004,30/10/2025
55 Cnc c,2,7,Radial Velocity,2004,13/10/2016
55 Cnc c,2,7,Radial Velocity,2004,11/02/2021
55 Cnc c,2,7,Radial Velocity,2004,16/05/2014
55 Cnc c,2,7,Radial Velocity,2004,21/08/2014
55 Cnc c,2,7,Radial Velocity,2004,20/09/2021
55 Cnc c,2,7,Radial Velocity,2004,29/10/2014
55 Cnc c,2,7,Radial Velocity,2004,21/08/2014
55 Cnc d,2,7,Radial Velocity,2002,29/10/2014
55 Cnc d,2,7,Radial Velocity,2002,21/08/2014
55 Cnc d,2,7,Radial Velocity,2002,13/10/2016
55 Cnc d,2,7,Radial Velocity,2002,16/05/2014
55 Cnc d,2,7,Radial Velocity,2002,30/10/2025
55 Cnc d,2,7,Radial Velocity,2002,06/10/2016
55 Cnc d,2,7,Radial Velocity,2002,21/08/2014
55 Cnc d,2,7,Radial Velocity,2002,21/08/2014
55 Cnc d,2,7,Radial Velocity,2002,14/05/2014
55 Cnc d,2,7,Radial Velocity,2002,20/09/2021
55 Cnc d,2,7,Radial Velocity,2002,11/02/2021
55 Cnc e,2,7,Radial Velocity,2004,30/10/2025
55 Cnc e,2,7,Radial Velocity,2004,07/08/2023
55 Cnc e,2,7,Radial Velocity,2004,21/01/2016
55 Cnc e,2,7,Radial Velocity,2004,29/10/2014
55 Cnc e,2,7,Radial Velocity,2004,04/03/2024
55 Cnc e,2,7,Radial Velocity,2004,14/05/2014
55 Cnc e,2,7,Radial Velocity,2004,10/12/2024
55 Cnc e,2,7,Radial Velocity,2004,21/08/2014
55 Cnc e,2,7,Radial Velocity,2004,09/05/2022
55 Cnc e,2,7,Radial Velocity,2004,03/12/2015
55 Cnc e,2,7,Radial Velocity,2004,16/04/2025
55 Cnc e,2,7,Radial Velocity,2004,16/05/2014
55 Cnc e,2,7,Radial Velocity,2004,11/02/2021
55 Cnc e,2,7,Radial Velocity,2004,24/10/2019
55 Cnc e,2,7,Radial Velocity,2004,24/06/2020
55 Cnc e,2,7,Radial Velocity,2004,29/08/2019
55 Cnc e,2,7,Radial Velocity,2004,31/01/2019
55 Cnc e,2,7,Radial Velocity,2004,13/10/2016
55 Cnc e,2,7,Radial Velocity,2004,21/08/2014
55 Cnc e,2,7,Radial Velocity,2004,19/09/2023
55 Cnc f,2,7,Radial Velocity,2007,21/08/2014
55 Cnc f,2,7,Radial Velocity,2007,30/10/2025
55 Cnc f,2,7,Radial Velocity,2007,29/10/2014
55 Cnc f,2,7,Radial Velocity,2007,21/08/2014
55 Cnc f,2,7,Radial Velocity,2007,16/05/2014
55 Cnc f,2,7,Radial Velocity,2007,11/02/2021
55 Cnc f,2,7,Radial Velocity,2007,20/09/2021
55 Cnc f,2,7,Radial Velocity,2007,14/05/2014
6 Lyn b,1,1,Radial Velocity,2008,19/09/2023
6 Lyn b,1,1,Radial Velocity,2008,06/12/2018
6 Lyn b,1,1,Radial Velocity,2008,21/08/2014
6 Lyn b,1,1,Radial Velocity,2008,03/09/2015
61 Vir b,1,3,Radial Velocity,2009,20/09/2021
61 Vir b,1,3,Radial Velocity,2009,14/05/2014
61 Vir c,1,3,Radial Velocity,2009,20/09/2021
61 Vir c,1,3,Radial Velocity,2009,14/05/2014
61 Vir d,1,3,Radial Velocity,2009,14/05/2014
7 CMa b,1,2,Radial Velocity,2011,14/05/2014
7 CMa b,1,2,Radial Velocity,2011,24/10/2019
7 CMa b,1,2,Radial Velocity,2011,13/09/2024
7 CMa b,1,2,Radial Velocity,2011,22/10/2015
7 CMa c,1,2,Radial Velocity,2019,13/09/2024
7 CMa c,1,2,Radial Velocity,2019,24/10/2019
70 Vir b,1,1,Radial Velocity,1996,24/04/2015
70 Vir b,1,1,Radial Velocity,1996,20/09/2021
70 Vir b,1,1,Radial Velocity,1996,06/12/2018
70 Vir b,1,1,Radial Velocity,1996,06/09/2018
70 Vir b,1,1,Radial Velocity,1996,14/05/2014
70 Vir b,1,1,Radial Velocity,1996,21/08/2014
75 Cet b,2,2,Radial Velocity,2012,03/09/2015
75 Cet b,2,2,Radial Velocity,2012,19/09/2023
75 Cet c,2,2,Radial Velocity,2023,19/09/2023
8 UMi b,1,1,Radial Velocity,2015,06/09/2018
8 UMi b,1,1,Radial Velocity,2015,15/10/2015
81 Cet b,1,1,Radial Velocity,2008,23/07/2014
81 Cet b,1,1,Radial Velocity,2008,14/05/2014
81 Cet b,1,1,Radial Velocity,2008,19/09/2023
91 Aqr b,3,1,Radial Velocity,2013,14/05/2014
AB Aur b,1,1,Imaging,2022,12/04/2022
AB Pic b,1,1,Imaging,2005,14/05/2014
AF Lep b,1,1,Imaging,2023,25/02/2023
AF Lep b,1,1,Imaging,2023,12/06/2023
AF Lep b,1,1,Imaging,2023,25/02/2023
AT2021ueyL b,1,1,Microlensing,2025,07/05/2025
AU Mic b,1,4,Transit,2020,24/06/2020
AU Mic b,1,4,Transit,2020,31/01/2022
AU Mic b,1,4,Transit,2020,10/08/2022
AU Mic b,1,4,Transit,2020,28/09/2024
AU Mic b,1,4,Transit,2020,09/08/2021
AU Mic b,1,4,Transit,2020,09/05/2022
AU Mic b,1,4,Transit,2020,03/05/2023
AU Mic b,1,4,Transit,2020,09/05/2022
AU Mic b,1,4,Transit,2020,21/10/2023
AU Mic b,1,4,Transit,2020,02/10/2025
AU Mic b,1,4,Transit,2020,09/05/2022
AU Mic c,1,4,Transit,2021,09/05/2022
AU Mic c,1,4,Transit,2021,21/10/2023
AU Mic c,1,4,Transit,2021,02/10/2025
AU Mic c,1,4,Transit,2021,28/09/2024
AU Mic c,1,4,Transit,2021,10/08/2021
AU Mic c,1,4,Transit,2021,09/05/2022
AU Mic c,1,4,Transit,2021,09/05/2022
AU Mic d,1,4,Transit Timing Variations,2023,03/10/2024
AU Mic e,1,4,Radial Velocity,2025,24/10/2023
AU Mic e,1,4,Radial Velocity,2025,02/10/2025
BD+03 2562 b,1,1,Radial Velocity,2017,15/06/2017
BD+05 4868 A b,2,1,Transit,2025,21/03/2025
BD+14 4559 b,1,1,Radial Velocity,2009,14/05/2014
BD+14 4559 b,1,1,Radial Velocity,2009,06/09/2018
BD+15 2375 b,1,1,Radial Velocity,2016,04/02/2016
BD+15 2940 b,1,1,Radial Velocity,2013,14/05/2014
BD+20 2457 b,1,2,Radial Velocity,2009,06/09/2018
BD+20 2457 b,1,2,Radial Velocity,2009,14/05/2014
BD+20 2457 c,1,2,Radial Velocity,2009,14/05/2014
BD+20 274 b,1,1,Radial Velocity,2012,18/09/2015
BD+20 594 b,1,1,Transit,2016,28/07/2016
BD+20 594 b,1,1,Transit,2016,26/04/2018
BD+20 594 b,1,1,Transit,2016,15/02/2018
BD+37 3172 b,1,1,Radial Velocity,2023,30/10/2025
BD+42 2315 b,1,1,Radial Velocity,2023,30/10/2025
BD+45 564 b,1,1,Radial Velocity,2021,28/05/2021
BD+48 738 b,1,1,Radial Velocity,2011,13/08/2015
BD+48 740 b,1,1,Radial Velocity,2018,01/02/2018
BD+49 828 b,1,1,Radial Velocity,2015,05/02/2015
BD+55 362 b,1,1,Radial Velocity,2021,28/05/2021
BD+60 1417 b,1,1,Imaging,2021,10/01/2022
BD+63 1405 b,1,1,Radial Velocity,2021,28/05/2021
BD+63 1405 b,1,1,Radial Velocity,2021,12/06/2023
BD-06 1339 b,1,2,Radial Velocity,2013,14/05/2014
BD-06 1339 c,1,2,Radial Velocity,2013,14/05/2014
BD-08 2823 b,1,2,Radial Velocity,2009,06/09/2018
BD-08 2823 b,1,2,Radial Velocity,2009,14/05/2014
BD-08 2823 c,1,2,Radial Velocity,2009,14/05/2014
BD-10 3166 b,1,1,Radial Velocity,2000,27/08/2014
BD-10 3166 b,1,1,Radial Velocity,2000,27/08/2014
BD-10 3166 b,1,1,Radial Velocity,2000,09/05/2022
BD-10 3166 b,1,1,Radial Velocity,2000,06/09/2018
BD-11 4672 b,1,2,Radial Velocity,2014,08/01/2015
BD-11 4672 b,1,2,Radial Velocity,2014,23/07/2020
BD-11 4672 c,1,2,Radial Velocity,2020,23/07/2020
BD-13 2130 b,1,1,Radial Velocity,2007,06/09/2018
BD-13 2130 b,1,1,Radial Velocity,2007,14/05/2015
BD-14 3065 b,3,1,Transit,2024,30/08/2024
BD-14 3065 b,3,1,Transit,2024,25/06/2024
BD-17 63 b,1,1,Radial Velocity,2008,06/09/2018
BD-17 63 b,1,1,Radial Velocity,2008,14/05/2014
BD-17 63 b,1,1,Radial Velocity,2008,13/09/2024
BD-17 63 b,1,1,Radial Velocity,2008,16/09/2024
BD-210397 b,1,2,Radial Velocity,2023,27/06/2023
BD-210397 c,1,2,Radial Velocity,2023,27/06/2023
BD-210397 c,1,2,Radial Velocity,2023,05/09/2023
BEBOP-3 b,2,1,Radial Velocity,2025,14/08/2025
Barnard b,1,4,Radial Velocity,2024,10/03/2025
Barnard b,1,4,Radial Velocity,2024,07/10/2024
Barnard c,1,4,Radial Velocity,2025,10/03/2025
Barnard d,1,4,Radial Velocity,2025,10/03/2025
Barnard e,1,4,Radial Velocity,2025,10/03/2025
CD Cet b,1,1,Radial Velocity,2020,02/11/2021
CFBDSIR J145829+101343 b,1,1,Imaging,2011,14/05/2014
CFHTWIR-Oph 98 b,1,1,Imaging,2021,17/05/2021
CHXR 73 b,1,1,Imaging,2006,14/05/2014
CI Tau c,1,1,Radial Velocity,2024,05/04/2024
COCONUTS-2 b,1,1,Imaging,2021,04/11/2024
COCONUTS-2 b,1,1,Imaging,2021,16/08/2021
CT Cha b,1,1,Imaging,2007,14/05/2014
CoRoT-1 b,1,1,Transit,2008,24/10/2019
CoRoT-1 b,1,1,Transit,2008,14/01/2016
CoRoT-1 b,1,1,Transit,2008,08/08/2022
CoRoT-1 b,1,1,Transit,2008,21/03/2019
CoRoT-1 b,1,1,Transit,2008,14/05/2014
CoRoT-1 b,1,1,Transit,2008,31/03/2016
CoRoT-1 b,1,1,Transit,2008,18/10/2022
CoRoT-10 b,1,1,Transit,2010,14/05/2014
CoRoT-10 b,1,1,Transit,2010,14/01/2016
CoRoT-10 b,1,1,Transit,2010,21/03/2019
CoRoT-10 b,1,1,Transit,2010,20/11/2024
CoRoT-11 b,1,1,Transit,2010,14/10/2024
CoRoT-11 b,1,1,Transit,2010,24/10/2019
CoRoT-11 b,1,1,Transit,2010,21/08/2014
CoRoT-11 b,1,1,Transit,2010,14/01/2016
CoRoT-11 b,1,1,Transit,2010,14/05/2014
CoRoT-11 b,1,1,Transit,2010,04/03/2024
CoRoT-11 b,1,1,Transit,2010,21/03/2019
CoRoT-12 b,1,1,Transit,2010,21/03/2019
CoRoT-12 b,1,1,Transit,2010,14/05/2014
CoRoT-12 b,1,1,Transit,2010,08/08/2022
CoRoT-12 b,1,1,Transit,2010,14/01/2016
CoRoT-12 b,1,1,Transit,2010,10/10/2019
CoRoT-12 b,1,1,Transit,2010,03/05/2022
CoRoT-13 b,1,1,Transit,2010,09/08/2022
CoRoT-13 b,1,1,Transit,2010,21/03/2019
CoRoT-13 b,1,1,Transit,2010,14/05/2014
CoRoT-13 b,1,1,Transit,2010,14/01/2016
CoRoT-13 b,1,1,Transit,2010,03/05/2022
CoRoT-14 b,1,1,Transit,2010,14/05/2014
CoRoT-14 b,1,1,Transit,2010,21/03/2019
CoRoT-14 b,1,1,Transit,2010,14/01/2016
CoRoT-16 b,1,1,Transit,2011,14/05/2014
CoRoT-16 b,1,1,Transit,2011,21/03/2019
CoRoT-17 b,1,1,Transit,2011,21/03/2019
CoRoT-17 b,1,1,Transit,2011,14/01/2016
CoRoT-17 b,1,1,Transit,2011,14/05/2014
CoRoT-18 b,1,1,Transit,2011,10/10/2019
CoRoT-18 b,1,1,Transit,2011,21/03/2019
CoRoT-18 b,1,1,Transit,2011,09/08/2022
CoRoT-18 b,1,1,Transit,2011,14/01/2016
CoRoT-18 b,1,1,Transit,2011,03/05/2022
CoRoT-18 b,1,1,Transit,2011,14/05/2014
CoRoT-19 b,1,1,Transit,2011,04/03/2024
CoRoT-19 b,1,1,Transit,2011,14/01/2016
CoRoT-19 b,1,1,Transit,2011,08/08/2022
CoRoT-19 b,1,1,Transit,2011,14/05/2014
CoRoT-19 b,1,1,Transit,2011,03/05/2022
CoRoT-19 b,1,1,Transit,2011,21/03/2019
CoRoT-2 b,2,1,Transit,2008,03/10/2022
CoRoT-2 b,2,1,Transit,2008,22/10/2015
CoRoT-2 b,2,1,Transit,2008,04/03/2024
CoRoT-2 b,2,1,Transit,2008,16/05/2014
CoRoT-2 b,2,1,Transit,2008,07/11/2019
CoRoT-2 b,2,1,Transit,2008,14/01/2016
CoRoT-2 b,2,1,Transit,2008,14/01/2016
CoRoT-2 b,2,1,Transit,2008,18/10/2022
CoRoT-2 b,2,1,Transit,2008,14/05/2014
CoRoT-2 b,2,1,Transit,2008,24/01/2022
CoRoT-2 b,2,1,Transit,2008,21/03/2019
CoRoT-2 b,2,1,Transit,2008,18/08/2016
CoRoT-20 b,1,2,Transit,2011,10/10/2019
CoRoT-20 b,1,2,Transit,2011,19/07/2018
CoRoT-20 b,1,2,Transit,2011,08/08/2022
CoRoT-20 b,1,2,Transit,2011,14/05/2014
CoRoT-20 b,1,2,Transit,2011,14/01/2016
CoRoT-20 b,1,2,Transit,2011,21/03/2019
CoRoT-20 c,1,2,Radial Velocity,2018,19/07/2018
CoRoT-21 b,1,1,Transit,2012,06/12/2018
CoRoT-21 b,1,1,Transit,2012,21/03/2019
CoRoT-22 b,1,1,Transit,2014,21/08/2014
CoRoT-23 b,1,1,Transit,2011,14/01/2016
CoRoT-23 b,1,1,Transit,2011,21/03/2019
CoRoT-23 b,1,1,Transit,2011,14/05/2014
CoRoT-24 b,1,2,Transit,2014,31/05/2018
CoRoT-24 c,1,2,Transit,2014,11/06/2014
CoRoT-25 b,1,1,Transit,2013,14/05/2014
CoRoT-25 b,1,1,Transit,2013,21/03/2019
CoRoT-26 b,1,1,Transit,2013,14/05/2014
CoRoT-26 b,1,1,Transit,2013,21/03/2019
CoRoT-27 b,1,1,Transit,2014,21/03/2019
CoRoT-27 b,1,1,Transit,2014,14/05/2014
CoRoT-28 b,1,1,Transit,2015,21/03/2019
CoRoT-28 b,1,1,Transit,2015,16/04/2015
CoRoT-29 b,1,1,Transit,2015,25/02/2016
CoRoT-29 b,1,1,Transit,2015,16/04/2015
CoRoT-29 b,1,1,Transit,2015,21/03/2019
CoRoT-3 b,1,1,Transit,2008,15/03/2023
CoRoT-3 b,1,1,Transit,2008,14/05/2014
CoRoT-3 b,1,1,Transit,2008,21/03/2019
CoRoT-3 b,1,1,Transit,2008,15/03/2023
CoRoT-3 b,1,1,Transit,2008,21/08/2014
CoRoT-30 b,1,1,Transit,2020,16/04/2020
CoRoT-31 b,1,1,Transit,2020,16/04/2020
CoRoT-32 b,1,1,Transit,2018,15/09/2017
CoRoT-32 b,1,1,Transit,2018,03/05/2022
CoRoT-35 b,1,1,Transit,2022,01/08/2022
CoRoT-36 b,1,1,Transit,2022,01/08/2022
CoRoT-4 b,1,1,Transit,2008,21/03/2019
CoRoT-4 b,1,1,Transit,2008,08/08/2022
CoRoT-4 b,1,1,Transit,2008,14/05/2014
CoRoT-4 b,1,1,Transit,2008,14/01/2016
CoRoT-5 b,1,1,Transit,2009,14/01/2016
CoRoT-5 b,1,1,Transit,2009,18/10/2022
CoRoT-5 b,1,1,Transit,2009,14/05/2014
CoRoT-5 b,1,1,Transit,2009,08/08/2022
CoRoT-5 b,1,1,Transit,2009,10/10/2019
CoRoT-5 b,1,1,Transit,2009,21/03/2019
CoRoT-6 b,1,1,Transit,2009,21/03/2019
CoRoT-6 b,1,1,Transit,2009,14/01/2016
CoRoT-6 b,1,1,Transit,2009,18/10/2022
CoRoT-6 b,1,1,Transit,2009,14/05/2014
CoRoT-7 b,1,3,Transit,2009,14/01/2016
CoRoT-7 b,1,3,Transit,2009,10/09/2015
CoRoT-7 b,1,3,Transit,2009,29/08/2019
CoRoT-7 b,1,3,Transit,2009,05/03/2015
CoRoT-7 b,1,3,Transit,2009,19/11/2020
CoRoT-7 b,1,3,Transit,2009,18/07/2022
CoRoT-7 b,1,3,Transit,2009,05/03/2015
CoRoT-7 b,1,3,Transit,2009,05/03/2015
CoRoT-7 c,1,3,Radial Velocity,2009,01/08/2022
CoRoT-7 c,1,3,Radial Velocity,2009,10/09/2015
CoRoT-7 c,1,3,Radial Velocity,2009,09/07/2014
CoRoT-7 d,1,3,Radial Velocity,2022,16/08/2022
CoRoT-8 b,1,1,Transit,2010,14/01/2016
CoRoT-8 b,1,1,Transit,2010,21/03/2019
CoRoT-8 b,1,1,Transit,2010,10/10/2019
CoRoT-8 b,1,1,Transit,2010,14/05/2014
CoRoT-9 b,2,1,Transit,2009,18/10/2022
CoRoT-9 b,2,1,Transit,2009,14/05/2014
CoRoT-9 b,2,1,Transit,2009,21/03/2019
CoRoT-9 b,2,1,Transit,2009,14/12/2017
CoRoT-9 b,2,1,Transit,2009,14/01/2016
DE CVn b,2,1,Eclipse Timing Variations,2018,11/07/2019
DENIS-P J082303.1-491201 b,1,1,Astrometry,2013,14/05/2014
DH Tau b,1,1,Imaging,2004,25/02/2016
DH Tau b,1,1,Imaging,2004,14/05/2014
DMPP-1 b,1,4,Radial Velocity,2019,30/01/2020
DMPP-1 c,1,4,Radial Velocity,2019,30/01/2020
DMPP-1 d,1,4,Radial Velocity,2019,30/01/2020
DMPP-1 e,1,4,Radial Velocity,2019,30/01/2020
DMPP-2 b,1,1,Radial Velocity,2019,30/01/2020
DMPP-3 A b,2,1,Radial Velocity,2019,30/01/2020
DMPP-3 A b,2,1,Radial Velocity,2019,30/01/2020
DMPP-4 b,1,1,Radial Velocity,2023,07/08/2023
DP Leo b,2,1,Eclipse Timing Variations,2009,16/05/2014
DP Leo b,2,1,Eclipse Timing Variations,2009,14/05/2014
DS Tuc A b,2,1,Transit,2019,16/09/2024
DS Tuc A b,2,1,Transit,2019,11/07/2019
DS Tuc A b,2,1,Transit,2019,15/08/2019
EPIC 201170410.02,1,1,Transit,2020,19/11/2020
EPIC 201238110 b,1,1,Transit,2019,05/09/2019
EPIC 201238110 b,1,1,Transit,2019,13/06/2019
EPIC 201427007 b,1,1,Transit,2021,25/10/2021
EPIC 201497682 b,1,1,Transit,2019,13/06/2019
EPIC 201595106 b,1,2,Transit,2021,15/02/2018
EPIC 201595106 b,1,2,Transit,2021,25/10/2021
EPIC 201595106 b,1,2,Transit,2021,29/01/2025
EPIC 201595106 b,1,2,Transit,2021,02/08/2018
EPIC 201615463 c,1,2,Transit,2019,13/06/2019
EPIC 201754305 d,1,3,Transit,2019,13/06/2019
EPIC 201757695.02,1,1,Transit,2020,19/11/2020
EPIC 201833600 c,1,2,Transit,2019,05/09/2019
EPIC 201833600 c,1,2,Transit,2019,13/06/2019
EPIC 201841433 b,1,1,Transit,2019,19/11/2020
EPIC 201841433 b,1,1,Transit,2019,05/09/2019
EPIC 201841433 b,1,1,Transit,2019,13/06/2019
EPIC 205950854 c,1,2,Transit,2019,15/08/2019
EPIC 205950854 c,1,2,Transit,2019,13/06/2019
EPIC 205950854 c,1,2,Transit,2019,05/09/2019
EPIC 206024342 b,1,3,Transit,2019,13/06/2019
EPIC 206024342 b,1,3,Transit,2019,05/09/2019
EPIC 206024342 c,1,3,Transit,2021,05/09/2019
EPIC 206024342 c,1,3,Transit,2021,05/12/2015
EPIC 206024342 c,1,3,Transit,2021,25/10/2021
EPIC 206024342 d,1,3,Transit,2021,25/10/2021
EPIC 206024342 d,1,3,Transit,2021,18/07/2016
EPIC 206024342 d,1,3,Transit,2021,05/12/2015
EPIC 206024342 d,1,3,Transit,2021,05/09/2019
EPIC 206032309 b,1,1,Transit,2019,13/06/2019
EPIC 206042996 b,1,2,Transit,2019,28/03/2022
EPIC 206042996 b,1,2,Transit,2019,13/06/2019
EPIC 206042996 b,1,2,Transit,2019,05/09/2019
EPIC 206042996 c,1,2,Transit,2021,25/10/2021
EPIC 206042996 c,1,2,Transit,2021,05/12/2015
EPIC 206215704 b,1,1,Transit,2019,05/09/2019
EPIC 206215704 b,1,1,Transit,2019,13/06/2019
EPIC 206215704 b,1,1,Transit,2019,28/03/2022
EPIC 206317286 b,1,2,Transit,2019,13/06/2019
EPIC 206317286 b,1,2,Transit,2019,05/09/2019
EPIC 206317286 c,1,2,Transit,2022,05/12/2015
EPIC 206317286 c,1,2,Transit,2022,05/09/2019
EPIC 206317286 c,1,2,Transit,2022,16/03/2022
EPIC 211822797 b,1,1,Transit,2016,26/10/2017
EPIC 211822797 b,1,1,Transit,2016,21/12/2016
EPIC 211822797 b,1,1,Transit,2016,21/12/2016
EPIC 211822797 b,1,1,Transit,2016,14/12/2017
EPIC 211822797 b,1,1,Transit,2016,20/09/2021
EPIC 211822797 b,1,1,Transit,2016,05/09/2019
EPIC 211945201 b,1,1,Transit,2018,05/02/2024
EPIC 211945201 b,1,1,Transit,2018,15/02/2018
EPIC 211945201 b,1,1,Transit,2018,14/12/2017
EPIC 211945201 b,1,1,Transit,2018,17/09/2025
EPIC 211945201 b,1,1,Transit,2018,21/12/2016
EPIC 211945201 b,1,1,Transit,2018,05/09/2019
EPIC 211945201 b,1,1,Transit,2018,26/10/2018
